onCharacterTurnStart --角色回合开始
onCapturedCharacterRansomed --被俘角色被赎回
onCapturedCharacterReleased --被俘角色被释放
onFatherDiesNatural --父亲自然死亡
onPreBattleWithdrawal --战前撤退
onPostBattle --战后
onHireMercenaries --雇佣佣兵
onGeneralCaptureResidence --将军占领住所
onLeaderDestroyedFaction --领袖摧毁派系
onOfferedForAdoption --被提出收养
onLesserGeneralOfferedForAdoption --次要将军被提出收养
onOfferedForMarriage --被提出婚姻
onBrotherAdopted --兄弟被收养
onBirth --出生
onCharacterComesOfAge --角色成年
onCharacterMarries --角色结婚
onCharacterMarriesPrincess --角色娶公主
onMarriageAlliancePossible --婚姻联盟可能
onMarriageAllianceOffered --提出婚姻联盟
onPriestBecomesHeretic --牧师成为异端
onCharacterNearHeretic --角色接近异端
onCharacterNearWitch --角色接近女巫
onCardinalPromoted --主教晋升
onCharacterBecomesAFather --角色成为父亲
onGeneralDevastatesTile --将军摧毁地块
onExecutesASpyOnAMission --处决执行任务的间谍
onExecutesAnAssassinOnAMission --处决执行任务的刺客
onSufferAssassinationAttempt --遭受刺杀尝试
onSufferAcquisitionAttempt --遭受获取尝试
onSufferMarriageAttempt --遭受婚姻尝试
onSufferDenouncementAttempt --遭受谴责尝试
onLeaderOrderedSabotage --领袖下令破坏
onAcceptBribe --接受贿赂
onRefuseBribe --拒绝贿赂
onInsurrection --起义
onLeaderOrderedDiplomacy --领袖下令外交
onNewAdmiralCreated --新海军上将创建
onGovernorBuildingDestroyed --总督建筑被摧毁
onGovernorThrowGames --总督举办游戏
onGovernorThrowRaces --总督举办比赛
onCharacterSelected --角色被选中
onEnemyCharacterSelected --敌方角色被选中
onMultiTurnMove --多回合移动
onCharacterPanelOpen --角色面板打开
onLeaderMissionSuccess --领袖任务成功
onLeaderMissionFailed --领袖任务失败
onGeneralJoinCrusade --将军加入十字军
onGeneralAbandonCrusade --将军放弃十字军
onGeneralArrivesCrusadeTargetRegion --将军到达十字军目标地区
onGeneralTakesCrusadeTarget --将军占领十字军目标
onCharacterTurnEnd --角色回合结束
onCharacterTurnEndInSettlement --角色回合在定居点结束
onBecomesFactionLeader --成为派系领袖
onCeasedFactionLeader --不再是派系领袖
onBecomesFactionHeir --成为派系继承人
onCeasedFactionHeir --不再是派系继承人
onCharacterDamagedByDisaster --角色因灾难受损
onGeneralCaptureSettlement --将军占领定居点
onGeneralAssaultsResidence --将军攻击住所
onGeneralAssaultsGeneral --将军攻击将军
onCharacterAttacksCrusadingGeneral --角色攻击十字军将军
onGeneralPrisonersRansomedCaptor --将军赎回俘虏
onGeneralPrisonersRansomedCaptive --将军俘虏被赎回
onFactionLeaderPrisonersRansomedCaptor --派系领袖赎回俘虏
onFactionLeaderPrisonersRansomedCaptive --派系领袖俘虏被赎回
onSpyMission --间谍任务
onAssassinationMission --刺杀任务
onAcquisitionMission --获取任务
onMarriageMission --婚姻任务
onDenouncementMission --谴责任务
onSabotageMission --破坏任务
onBriberyMission --贿赂任务
onDiplomacyMission --外交任务
onLeaderOrderedSpyingMission --领袖下令间谍任务
onLeaderOrderedAssassination --领袖下令刺杀
onLeaderOrderedBribery --领袖下令贿赂
onSettlementTurnStart --定居点回合开始
onUngarrisonedSettlement --无驻军定居点
onSettlementUpgraded --定居点升级
onSettlementConverted --定居点被转化
onSiegeEquipmentCompleted --攻城器械完成
onSettlementTurnEnd --定居点回合结束
onSettlementSelected --定居点被选中
onSettlementPanelOpen --定居点面板打开
onRecruitmentPanelOpen --招募面板打开
onConstructionPanelOpen --建筑面板打开
onTradePanelOpen --贸易面板打开
onSettlementScrollAdviceRequested --定居点滚动建议请求
